,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
0,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",16.0 fl oz,3.998,,,,,,,,,,,
1,"Beverages, Energy drink, ROCKSTAR, sugar free",8.0 fl oz,1.999,,,,,,,,,,,
2,"Garlic, raw",1.0 cups,1.68,,,,,,,,,,,
3,"Rice flour, brown",1.0 cups,1.163,,,,,,,,,,,
4,"Beans, pink, mature seeds, raw",1.0 cups,1.107,,,,,,,,,,,
5,"Seeds, sunflower seed kernels, toasted, without salt",1.0 cups,1.079,,,,,,,,,,,
6,"Seeds, sunflower seed kernels, oil roasted, without salt",1.0 cups,1.069,,,,,,,,,,,
7,"Potatoes, Russet, flesh and skin, baked","1.0 potato large (3"" to 4-1/4"" dia.",1.058,,,,,,,,,,,
8,"Corn grain, white",1.0 cups,1.033,,,,,,,,,,,
9,"Beverages, Whey protein powder isolate",3.0 scoop,1.0,,,,,,,,,,,
10,"Turkey, drumstick, from whole bird, meat only, raw",4.0 oz,0.919,,,,,,,,,,,
11,"Pork, fresh, enhanced, loin, tenderloin, separable lean only, raw",4.0 oz,0.854,,,,,,,,,,,
12,"Beverages, Meal supplement drink, canned, peanut flavor",1.0 cups,0.853,,,,,,,,,,,
13,"Whey, sweet, dried",1.0 cups,0.847,,,,,,,,,,,
14,"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",4.0 oz,0.843,,,,,,,,,,,
15,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,0.834,,,,,,,,,,,
16,"Turkey, ground, fat free, patties, broiled",3.0 oz,0.772,,,,,,,,,,,
17,"Pork, ground, 96% lean / 4% fat, raw",4.0 oz,0.755,,,,,,,,,,,
18,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",3.0 oz,0.754,,,,,,,,,,,
19,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",3.0 oz,0.746,,,,,,,,,,,
20,"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",1.0 cups,0.745,,,,,,,,,,,
21,"Cereals, ready-to-eat, MALT-O-MEAL, Blueberry Mini SPOONERS",1.0 cups (1 NLEA serving),0.732,,,,,,,,,,,
22,"Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled",1.0 steak ( yield from 134.9 g raw meat ),0.724,,,,,,,,,,,
23,"Cereals, MALT-O-MEAL, chocolate, dry",3.0 tbsp (1 NLEA serving),0.718,,,,,,,,,,,
24,"Beans, adzuki, mature seeds, raw",1.0 cups,0.691,,,,,,,,,,,
25,"Turkey, whole, breast, meat only, cooked, roasted",3.0 oz,0.686,,,,,,,,,,,
26,"Orange juice, frozen concentrate, unsweetened, undiluted",1.0 cups,0.681,,,,,,,,,,,
27,"Peanuts, all types, dry-roasted, without salt",1.0 cups,0.68,,,,,,,,,,,
28,"Nuts, butternuts, dried",1.0 cups,0.672,,,,,,,,,,,
29,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",4.0 oz,0.667,,,,,,,,,,,
30,"Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-drink,  3-2-1 Plan",1.0 bottle,0.664,,,,,,,,,,,
31,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",4.0 oz,0.662,,,,,,,,,,,
32,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",1.0 cups,0.655,,,,,,,,,,,
33,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",4.0 oz,0.654,,,,,,,,,,,
34,"Tomato products, canned, sauce, with onions",1.0 cups,0.654,,,,,,,,,,,
35,"Plantains, yellow, raw",1.0 plantain,0.653,,,,,,,,,,,
36,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",4.0 oz,0.65,,,,,,,,,,,
37,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",4.0 oz,0.65,,,,,,,,,,,
38,"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw",4.0 oz,0.649,,,,,,,,,,,
39,"Nuts, hazelnuts or filberts","1.0 cups, chopped",0.647,,,,,,,,,,,
40,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",4.0 oz,0.643,,,,,,,,,,,
41,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",3.0 oz,0.637,,,,,,,,,,,
42,"Cheese, feta","1.0 cups, crumbled",0.636,,,,,,,,,,,
43,"Apricots, dehydrated (low-moisture), sulfured, uncooked",1.0 cups,0.619,,,,,,,,,,,
44,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean and fat only, raw",4.0 oz,0.617,,,,,,,,,,,
45,"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",1.0 slice,0.612,,,,,,,,,,,
46,"Pork, ground, 96% lean / 4% fat, cooked, crumbles",3.0 oz grilled patties,0.609,,,,,,,,,,,
47,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted","1.0 cups, diced",0.608,,,,,,,,,,,
