,Description,Measure,"Fatty acids, total polyunsaturated(g)Per Measure","Fiber, total dietary(g)Per 100 g","Fatty acids, total saturated(g)Per Measure","Carbohydrate, by difference(g)Per Measure","Sugars, total(g)Per Measure",Protein(g)Per Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(Âµg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(Âµg)Per Measure","Zinc, Zn(mg)Per Measure",Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (Âµg) Per Measure,Vitamin D2 (ergocalciferol) (Âµg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (Âµg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(Âµg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
0,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,3.878,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,2.143,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,1.277,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,1.034,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Fish, tilapia, raw",1.0 fillet,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Tomatoes, red, ripe, canned, stewed",1.0 cups,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Mangos, raw",1.0 cups pieces,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Apples, raw, without skin",1.0 cups slices,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Snacks, tortilla chips, plain, white corn, salted",,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"English muffins, whole grain white",,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Apples, raw, without skin, cooked, microwave",,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Bananas, raw",,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Apples, raw, without skin, cooked, boiled",,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Mangos, raw",,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Apples, raw, without skin",,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Tomatoes, red, ripe, canned, stewed",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,4.368,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,1.356,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,1.172,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Fish, tilapia, raw",1.0 fillet,,,0.679,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
