,Description,Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(µg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(µg)Per Measure","Zinc, Zn(mg)Per Measure"
83,"Tomatoes, red, ripe, canned, stewed",1.0 cups,564.0,,,,,,,,,
283,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,136.0,,,,,,,,,
461,"Fish, tilapia, raw",1.0 fillet,60.0,,,,,,,,,
475,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,58.0,,,,,,,,,
527,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,45.0,,,,,,,,,
535,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,43.0,,,,,,,,,
551,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,40.0,,,,,,,,,
750,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,5.0,,,,,,,,,
755,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,5.0,,,,,,,,,
819,"Mangos, raw",1.0 cups pieces,2.0,,,,,,,,,
889,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,116.0,,,,,,,,
1003,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,37.0,,,,,,,,
1013,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,35.0,,,,,,,,
1041,"Fish, tilapia, raw",1.0 fillet,,31.0,,,,,,,,
1049,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,31.0,,,,,,,,
1057,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,30.0,,,,,,,,
1186,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,21.0,,,,,,,,
1252,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,18.0,,,,,,,,
1283,"Mangos, raw",1.0 cups pieces,,16.0,,,,,,,,
1431,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,9.0,,,,,,,,
1570,"Apples, raw, without skin",1.0 cups slices,,4.0,,,,,,,,
1732,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,312.0,,,,,,,
1761,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,262.0,,,,,,,
1768,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,253.0,,,,,,,
1772,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,242.0,,,,,,,
1840,"Fish, tilapia, raw",1.0 fillet,,,197.0,,,,,,,
1851,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,192.0,,,,,,,
2156,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,51.0,,,,,,,
2158,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,51.0,,,,,,,
2267,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,35.0,,,,,,,
2360,"Mangos, raw",1.0 cups pieces,,,23.0,,,,,,,
2422,"Apples, raw, without skin",1.0 cups slices,,,12.0,,,,,,,
2641,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,87.0,,,,,,
2776,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,39.0,,,,,,
2834,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,31.0,,,,,,
2876,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,26.0,,,,,,
2884,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,25.0,,,,,,
2922,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,21.0,,,,,,
2965,"Mangos, raw",1.0 cups pieces,,,,18.0,,,,,,
3082,"Fish, tilapia, raw",1.0 fillet,,,,12.0,,,,,,
