,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
15,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,0.834,,,,,,,,,,,
67,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,0.518,,,,,,,,,,,
82,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,0.473,,,,,,,,,,,
174,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,0.274,,,,,,,,,,,
185,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,0.258,,,,,,,,,,,
242,"Mangos, raw",1.0 cups pieces,0.196,,,,,,,,,,,
251,"Fish, tilapia, raw",1.0 fillet,0.188,,,,,,,,,,,
347,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,0.118,,,,,,,,,,,
459,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,0.078,,,,,,,,,,,
550,"Tomatoes, red, ripe, canned, stewed",1.0 cups,0.043,,,,,,,,,,,
559,"Apples, raw, without skin",1.0 cups slices,0.041,,,,,,,,,,,
898,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,0.349,,,,,,,,,,
1013,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,0.198,,,,,,,,,,
1087,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,0.149,,,,,,,,,,
1107,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,0.135,,,,,,,,,,
1165,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,0.104,,,,,,,,,,
1219,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,0.089,,,,,,,,,,
1243,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,0.082,,,,,,,,,,
1263,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,0.076,,,,,,,,,,
1281,"Fish, tilapia, raw",1.0 fillet,,0.073,,,,,,,,,,
1330,"Mangos, raw",1.0 cups pieces,,0.063,,,,,,,,,,
1493,"Apples, raw, without skin",1.0 cups slices,,0.031,,,,,,,,,,
1651,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,3.81,,,,,,,,,
1673,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,2.92,,,,,,,,,
1717,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,1.86,,,,,,,,,
1718,"Fish, tilapia, raw",1.0 fillet,,,1.83,,,,,,,,,
1868,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,0.46,,,,,,,,,
2050,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,539.0,,,,,,,
2056,"Fish, tilapia, raw",1.0 fillet,,,,,144.0,,,,,,,
2235,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,1.765,,,,,,
2247,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,1.413,,,,,,
2341,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,0.792,,,,,,
2383,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,0.709,,,,,,
2439,"Fish, tilapia, raw",1.0 fillet,,,,,,0.565,,,,,,
2509,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,0.412,,,,,,
2558,"Mangos, raw",1.0 cups pieces,,,,,,0.325,,,,,,
2585,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,0.291,,,,,,
2632,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,0.23,,,,,,
2772,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,0.118,,,,,,
2850,"Apples, raw, without skin",1.0 cups slices,,,,,,0.078,,,,,,
3008,"Mangos, raw",1.0 cups pieces,,,,,,,60.1,,,,,
3072,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,20.1,,,,,
3182,"Apples, raw, without skin",1.0 cups slices,,,,,,,4.4,,,,,
3232,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,2.1,,,,,
3280,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,0.8,,,,,
