"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Magnesium, Mg(mg)
",,
Description,Measure,"Magnesium, Mg(mg)Per Measure"
"Seeds, pumpkin and squash seed kernels, roasted, with salt added",1.0 cups,649
"Nuts, almonds, dry roasted, without salt added",1.0 cups whole kernels,385
"Beans, pink, mature seeds, raw",1.0 cups,382
"Beans, black, mature seeds, raw",1.0 cups,332
"Nuts, butternuts, dried",1.0 cups,284
"Peanuts, all types, dry-roasted, without salt",1.0 cups,260
"Whey, sweet, dried",1.0 cups,255
"Beans, adzuki, mature seeds, raw",1.0 cups,250
"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",1.0 cups,235
"Peanuts, valencia, oil-roasted, without salt",1.0 cups,230
"Corn grain, white",1.0 cups,211
"Cereals ready-to-eat, granola, homemade",1.0 cups,205
"Beverages, Whey protein powder isolate",3.0 scoop,200
"Nuts, hazelnuts or filberts","1.0 cups, chopped",187
"Candies, confectioner's coating, peanut butter",1.0 cups chips,185
"Rice flour, brown",1.0 cups,177
"Seeds, sunflower seed kernels, toasted, without salt",1.0 cups,173
"Seeds, sunflower seed kernels, oil roasted, without salt",1.0 cups,171
"Soybeans, green, raw",1.0 cups,166
"Desserts, mousse, chocolate, prepared-from-recipe",1.0 recipe yield,162
"Cornmeal, whole-grain, white",1.0 cups,155
"Oat flour, partially debranned",1.0 cups,150
"Sorghum flour, whole-grain",1.0 cups,149
Barley flour or meal,1.0 cups,142
"Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-drink,  3-2-1 Plan",1.0 bottle,133
"Spinach, canned, regular pack, solids and liquids",1.0 cups,131
"Teff, cooked",1.0 cups,126
"Lima beans, immature seeds, cooked, boiled, drained, without salt",1.0 cups,126
"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,116
"Soybeans, green, cooked, boiled, drained, without salt",1.0 cups,108
"Corn flour, yellow, masa, enriched",1.0 cups,106
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",1.0 cups,101
"Seeds, safflower seed meal, partially defatted",1.0 oz,99
"Plantains, yellow, raw",1.0 plantain,97
"Seeds, sesame flour, low-fat",1.0 oz,96
"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",1.0 cups,92
"Orange juice, frozen concentrate, unsweetened, undiluted",1.0 cups,92
"Beans, black turtle, mature seeds, cooked, boiled, without salt",1.0 cups,91
"Potatoes, Russet, flesh and skin, baked","1.0 potato large (3"" to 4-1/4"" dia.",90
"Beans, baked, canned, with pork",1.0 cups,86
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",1.0 cups,86
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",1.0 cups,85
"Soup, black bean, canned, condensed",1.0 cups (8 fl oz),85
"Beans, black turtle, mature seeds, canned",1.0 cups,84
"Lima beans, immature seeds, frozen, baby, unprepared",1.0 cups,82
"Pasta, fresh-refrigerated, spinach, as purchased",4.0 oz,81
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",1.0 can (6 fl oz),79
"Purslane, cooked, boiled, drained, without salt",1.0 cups,77
"Apricots, dehydrated (low-moisture), sulfured, uncooked",1.0 cups,75
"Cardoon, raw","1.0 cups, shredded",75
"Cowpeas (blackeyes), immature seeds, raw",1.0 cups,74
"Tofu, raw, firm, prepared with calcium sulfate",0.5 cups,73
"Pie Crust, Cookie-type, Chocolate, Ready Crust",1.0 crust,73
"Amaranth leaves, cooked, boiled, drained, without salt",1.0 cups,73
"Edamame, frozen, unprepared",1.0 cups,72
