"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Manganese, Mn(mg)
",,
Description,Measure,"Manganese, Mn(mg)Per Measure"
"Nuts, butternuts, dried",1.0 cups,7.872
"Blueberries, wild, canned, heavy syrup, drained",1.0 cups,7.337
"Teff, cooked",1.0 cups,7.207
"Nuts, hazelnuts or filberts","1.0 cups, chopped",7.101
"Rice flour, brown",1.0 cups,6.341
"Seeds, pumpkin and squash seed kernels, roasted, with salt added",1.0 cups,5.298
"Mollusks, mussel, blue, raw",1.0 cups,5.1
"Cereals ready-to-eat, granola, homemade",1.0 cups,4.875
"Oat flour, partially debranned",1.0 cups,4.18
"Beans, adzuki, mature seeds, raw",1.0 cups,3.408
"Pie Crust, Cookie-type, Chocolate, Ready Crust",1.0 crust,3.336
"Macaroni, vegetable, enriched, dry",1.0 cups spiral shaped,3.231
"Nuts, almonds, dry roasted, without salt added",1.0 cups whole kernels,3.08
"Beans, pink, mature seeds, raw",1.0 cups,2.89
"Seeds, sunflower seed kernels, toasted, without salt",1.0 cups,2.833
"Seeds, sunflower seed kernels, oil roasted, without salt",1.0 cups,2.808
"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,2.715
"Peanuts, all types, dry-roasted, without salt",1.0 cups,2.608
"Peanuts, valencia, oil-roasted, without salt",1.0 cups,2.478
"Candies, confectioner's coating, peanut butter",1.0 cups chips,2.352
"Garlic, raw",1.0 cups,2.274
"Lima beans, immature seeds, cooked, boiled, drained, without salt",1.0 cups,2.128
"Beans, black, mature seeds, raw",1.0 cups,2.056
"Rice, white, long-grain, regular, raw, unenriched",1.0 cups,2.013
"Cereals, WHEATENA, cooked with water",1.0 cups,1.997
"Blackberries, frozen, unsweetened","1.0 cups, unthawed",1.847
"Loganberries, frozen","1.0 cups, unthawed",1.833
"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",1.0 cups,1.551
Barley flour or meal,1.0 cups,1.53
"Sorghum flour, whole-grain",1.0 cups,1.522
"Tofu, raw, firm, prepared with calcium sulfate",0.5 cups,1.488
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",1.0 cups,1.463
"Soybeans, green, raw",1.0 cups,1.4
"Nuts, chestnuts, european, raw, unpeeled",1.0 cups,1.38
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",1.0 cups,1.345
"Macaroni, vegetable, enriched, cooked",1.0 cups spiral shaped,1.321
"Soup, black bean, canned, condensed",1.0 cups (8 fl oz),1.285
"Sweet potato, canned, syrup pack, drained solids",1.0 cups,1.205
"Edamame, frozen, unprepared",1.0 cups,1.192
"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit",2.0 biscuits (1 NLEA serving),1.184
"Spinach, canned, regular pack, solids and liquids",1.0 cups,1.154
"Lima beans, immature seeds, frozen, baby, unprepared",1.0 cups,1.151
"Amaranth leaves, cooked, boiled, drained, without salt",1.0 cups,1.137
"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",1.0 cups,1.118
"Wheat flour, white, bread, enriched",1.0 cups,1.085
"Pie crust, deep dish, frozen, baked, made with enriched flour",1.0 pie crust (average weight),1.077
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",1.0 pie crust (average weight),1.071
"Beets, canned, regular pack, solids and liquids",1.0 cups,1.011
"Pasta, fresh-refrigerated, spinach, as purchased",4.0 oz,1
"Beverages, Whey protein powder isolate",3.0 scoop,0.998
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",1.0 cups,0.944
"Beverages, tea, instant, unsweetened, powder",1.0 serving 1 tsp,0.931
