"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Zinc, Zn(mg)
",,
Description,Measure,"Zinc, Zn(mg)Per Measure"
"Mollusks, oyster, eastern, cooked, breaded and fried",3.0 oz,74.06
"Mollusks, oyster, eastern, wild, cooked, moist heat",3.0 oz,66.81
"Mollusks, oyster, eastern, wild, cooked, dry heat",3.0 oz,51.88
"Mollusks, oyster, eastern, farmed, raw",3.0 oz,32.23
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",3.0 oz,10.16
"Beans, adzuki, mature seeds, raw",1.0 cups,9.93
"Seeds, pumpkin and squash seed kernels, roasted, with salt added",1.0 cups,9.02
"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, cooked, simmered",3.0 oz,8.92
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",4.0 oz,8.89
"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",4.0 oz,8.81
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",4.0 oz,8.5
"Mollusks, oyster, Pacific, raw",1.0 medium,8.31
"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled",3.0 oz,7.58
"Beverages, Whey protein powder isolate",3.0 scoop,7.5
"Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised",1.0 serving ( 3 oz ),7.34
"Seeds, sunflower seed kernels, toasted, without salt",1.0 cups,7.1
"Beans, black, mature seeds, raw",1.0 cups,7.08
"Seeds, sunflower seed kernels, oil roasted, without salt",1.0 cups,7.03
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",3.0 oz,6.94
"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",4.0 oz,6.89
"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",3.0 oz,6.81
"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised",3.0 oz,6.74
"Chicken, gizzard, all classes, cooked, simmered",1.0 cups chopped or dice,6.41
"Game meat, elk, ground, cooked, pan-broiled",1.0 patty ( yield from 104.1 g raw meat ),6.23
"Crustaceans, spiny lobster, mixed species, cooked, moist heat",3.0 oz,6.18
"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",3.0 oz,5.93
"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",3.0 oz,5.92
"Cheese, swiss","1.0 cups, diced",5.77
"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",3.0 oz,5.64
"Veal, shank (fore and hind), separable lean and fat, cooked, braised",3.0 oz,5.64
"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",4.0 oz,5.57
"Turkey, all classes, back, meat and skin, cooked, roasted","1.0 cups, chopped or diced",5.49
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",3.0 oz,5.41
"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,5.37
"Beans, pink, mature seeds, raw",1.0 cups,5.36
"Desserts, mousse, chocolate, prepared-from-recipe",1.0 recipe yield,5.17
"Cereals ready-to-eat, granola, homemade",1.0 cups,5.09
"Cheese, pasteurized process, swiss","1.0 cups, diced",5.05
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","1.0 cups, diced",5.01
