"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Folate, total(µg)
",,
Description,Measure,"Folate, total(µg)Per Measure"
"Beans, adzuki, mature seeds, raw",1.0 cups,1225
"Beans, pink, mature seeds, raw",1.0 cups,972
"Beans, black, mature seeds, raw",1.0 cups,861
"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",0.75 cups (1 NLEA serving),460
"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",1.0 cups,449
"Soybeans, green, raw",1.0 cups,422
"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",0.75 cups (1 NLEA serving),420
"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",0.75 cups (1 NLEA serving),418
"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple",1.0 cups (1 NLEA serving),405
"Cereals, MALT-O-MEAL, chocolate, dry",3.0 tbsp (1 NLEA serving),400
"Edamame, frozen, unprepared",1.0 cups,358
"Cornmeal, white, self-rising, degermed, enriched",1.0 cups,322
"Seeds, sunflower seed kernels, toasted, without salt",1.0 cups,319
"Seeds, sunflower seed kernels, oil roasted, without salt",1.0 cups,316
"Wheat flour, white, bread, enriched",1.0 cups,251
"Cowpeas (blackeyes), immature seeds, raw",1.0 cups,244
"Asparagus, frozen, cooked, boiled, drained, without salt",1.0 cups,243
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",1.0 cups,240
"Macaroni, vegetable, enriched, dry",1.0 cups spiral shaped,234
"Asparagus, canned, drained solids",1.0 cups,232
"Wheat flour, white, all-purpose, enriched, calcium-fortified",1.0 cups,229
"Pasta, fresh-refrigerated, spinach, as purchased",4.0 oz,227
"Pasta, fresh-refrigerated, plain, as purchased",4.0 oz,225
"Pasta, dry, enriched",1.0 cups spaghetti,216
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",1.0 cups,210
"Orange juice, frozen concentrate, unsweetened, undiluted",1.0 cups,202
"Beverages, Whey protein powder isolate",3.0 scoop,200
"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",0.75 cups (1 NLEA serving),200
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",1.0 cups (1 NLEA serving),200
"Soybeans, green, cooked, boiled, drained, without salt",1.0 cups,200
"Pie crust, deep dish, frozen, baked, made with enriched flour",1.0 pie crust (average weight),190
"Corn flour, yellow, masa, enriched",1.0 cups,185
"Peanuts, valencia, oil-roasted, without salt",1.0 cups,181
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",1.0 pie crust (average weight),173
"Peas, mature seeds, sprouted, raw",1.0 cups,173
"Turnip greens, cooked, boiled, drained, without salt","1.0 cups, chopped",170
"Soup, black bean, canned, condensed",1.0 cups (8 fl oz),170
"Beans, black turtle, mature seeds, cooked, boiled, without salt",1.0 cups,159
"Biscuits, plain or buttermilk, dry mix","1.0 cups, purchased",150
"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",1.0 cups,149
"Beets, raw",1.0 cups,148
"Beans, black turtle, mature seeds, canned",1.0 cups,146
"Peanuts, all types, dry-roasted, without salt",1.0 cups,142
"Okra, frozen, unprepared",0.33 package (10 oz),141
"Spinach, canned, regular pack, solids and liquids",1.0 cups,136
"Asparagus, cooked, boiled, drained",0.5 cups,134
"Pie Crust, Cookie-type, Chocolate, Ready Crust",1.0 crust,131
"Beverages, Protein powder soy based",1.0 scoop,130
"Nuts, hazelnuts or filberts","1.0 cups, chopped",130
"Candies, confectioner's coating, peanut butter",1.0 cups chips,129
