"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Niacin(mg)
",
Description,Niacin(mg)Per 100 g
"Acerola juice, raw",0.4
"Acerola, (west indian cherry), raw",0.4
"Alcoholic beverage, beer, light",0.391
"Alcoholic beverage, beer, light, higher alcohol",0.391
"Alcoholic beverage, beer, regular, all",0.513
"Alcoholic beverage, creme de menthe, 72 proof",0.003
"Alcoholic beverage, daiquiri, canned",0.014
"Alcoholic beverage, daiquiri, prepared-from-recipe",0.051
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",0.013
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.013
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",0.013
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",0.013
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",0.013
"Alcoholic beverage, distilled, whiskey, 86 proof",0.05
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",0.078
"Alcoholic beverage, liqueur, coffee, 53 proof",0.144
"Alcoholic beverage, liqueur, coffee, 63 proof",0.144
"Alcoholic beverage, malt beer, hard lemonade",0.225
"Alcoholic beverage, pina colada, canned",0.104
"Alcoholic beverage, pina colada, prepared-from-recipe",0.118
"Alcoholic beverage, tequila sunrise, canned",0.19
"Alcoholic beverage, whiskey sour",0.02
"Alcoholic beverage, whiskey sour, canned",0.02
"Alcoholic beverage, whiskey sour, prepared from item 14028",0.005
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",0.005
"Alcoholic beverage, wine, cooking",0.1
"Alcoholic beverage, wine, dessert, dry",0.213
"Alcoholic beverage, wine, dessert, sweet",0.213
"Alcoholic beverage, wine, light",0.1
"Alcoholic beverage, wine, table, all",0.166
"Alcoholic beverage, wine, table, red",0.224
"Alcoholic Beverage, wine, table, red, Merlot",0.224
"Alcoholic beverage, wine, table, white",0.108
"Alcoholic beverage, wine, table, white, Chardonnay",0.108
"Alcoholic beverages, beer, higher alcohol",1.1
"Alcoholic beverages, wine, rose",0.09
"Alfalfa seeds, sprouted, raw",0.481
"Amaranth grain, cooked",0.235
"Amaranth grain, uncooked",0.923
"Amaranth leaves, cooked, boiled, drained, with salt",0.559
"Amaranth leaves, cooked, boiled, drained, without salt",0.559
"Amaranth leaves, raw",0.658
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.073
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.067
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",0.073
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",0.038
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.038
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",0.135
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",0.135
"APPLEBEE'S, 9 oz house sirloin steak",4.903
"APPLEBEE'S, chicken tenders platter",7.847
"APPLEBEE'S, chicken tenders, from kids' menu",7.89
"APPLEBEE'S, chili",3.557
"APPLEBEE'S, coleslaw",0.3
"APPLEBEE'S, crunchy onion rings",0.73
"APPLEBEE'S, Double Crunch Shrimp",0.9
"APPLEBEE'S, fish, hand battered",2.29
"APPLEBEE'S, french fries",2.18
"APPLEBEE'S, KRAFT, Macaroni  &  Cheese, from kid's menu",0.97
"APPLEBEE'S, mozzarella sticks",0.66
"Apples, canned, sweetened, sliced, drained, heated",0.081
"Apples, dehydrated (low moisture), sulfured, stewed",0.14
"Apples, dehydrated (low moisture), sulfured, uncooked",0.68
"Apples, dried, sulfured, stewed, with added sugar",0.121
"Apples, dried, sulfured, stewed, without added sugar",0.129
"Apples, dried, sulfured, uncooked",0.927
"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",0.043
"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",0.042
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",0.07
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",0.075
"Apples, raw, golden delicious, with skin",0.094
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",0.126
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",0.075
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",0.091
"Apples, raw, without skin",0.091
"Apples, raw, without skin, cooked, boiled",0.095
"Apples, raw, without skin, cooked, microwave",0.061
"Applesauce, canned, sweetened, with salt",0.188
"Applesauce, canned, sweetened, without salt",0.072
"Applesauce, canned, unsweetened, with added ascorbic acid",0.084
"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",0.084
"Apricot nectar, canned, with added ascorbic acid",0.15
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",0.34
