"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Vitamin D (IU)
",,
Description,Measure,Vitamin D (IU) Per Measure
"Fish, swordfish, cooked, dry heat",3.0 oz,566
"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,539
"Fish, salmon, pink, canned, drained solids",3.0 oz,493
"Fish, mackerel, spanish, raw",3.0 oz,248
"Fish, flatfish (flounder and sole species), cooked, dry heat",1.0 fillet,177
"Fish, herring, Atlantic, pickled",1.0 cups,158
"Fish, cisco, smoked",1.0 oz,150
"Fish, tilapia, raw",1.0 fillet,144
"Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-drink,  3-2-1 Plan",1.0 bottle,133
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",1.0 cups,128
Eggnog,1.0 cups,124
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",1.0 cups,122
"Cheese food, pasteurized process, American, vitamin D fortified",1.0 cups,115
"Mushrooms, Chanterelle, raw",1.0 cups,114
"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",8.0 fl oz,101
"Beverages, almond milk, chocolate, ready-to-drink",8.0 fl oz,101
"Cereals ready-to-eat, POST, Honeycomb Cereal",1.0 cups (1 NLEA serving),100
"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",1.0 cups,100
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",1.0 cups,98
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",1.0 cups,98
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",1.0 cups,98
"Cheese, pasteurized process, American, fortified with vitamin D",1.0 oz,85
"Fish, mackerel, jack, canned, drained solids","1.0 oz, boneless",83
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","1.0 cups, diced",82
"Cereals ready-to-eat, POST, COCOA PEBBLES",0.75 cups (1 NLEA serving),80
"Cream, fluid, heavy whipping","1.0 cups, whipped",76
"Puddings, chocolate, dry mix, regular, prepared with whole milk",0.5 cups,62
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",1.0 cups (1 NLEA serving),60
"Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, ready-to-feed, with ARA and DHA",5.0 fl oz,60
"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted","1.0 cups, diced",49
"Fast foods, croissant, with egg, cheese, and ham",1.0 item,48
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",1.0 slice,48
"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, with iron, 24 calories, ready-to-feed",1.0 fl oz,48
"Fish, herring, Atlantic, raw","1.0 oz, boneless",47
"Fast foods, croissant, with egg, cheese, and sausage",1.0 sandwich,46
"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, roasted",3.0 oz,46
"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",3.0 oz,45
"Egg, whole, cooked, poached",1.0 large,41
"Egg, whole, raw, fresh",1.0 large,41
"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",3.0 oz,41
"Egg, whole, cooked, fried",1.0 large,40
"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, broiled",3.0 oz,40
"Fish, cod, Atlantic, canned, solids and liquid",3.0 oz,40
"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",0.75 cups (1 NLEA serving),40
"Fast foods, biscuit, with egg and bacon",1.0 biscuit,38
