"
Abridged List Ordered by Nutrient Content in Household Measure
Source: USDA National Nutrient Database for Standard Reference Legacy (2018)
Nutrients: Vitamin K (phylloquinone) (µg)
",,
Description,Measure,Vitamin K (phylloquinone) (µg) Per Measure
"Spinach, canned, regular pack, solids and liquids",1.0 cups,891.1
"Turnip greens, frozen, cooked, boiled, drained, without salt",1.0 cups,851
"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",1.0 cups,676.6
"Turnip greens, cooked, boiled, drained, without salt","1.0 cups, chopped",529.3
"Turnip greens, frozen, cooked, boiled, drained, with salt",0.5 cups,425.5
"Cress, garden, raw",1.0 cups,270.9
"Kale, frozen, unprepared",1.0 cups,223.5
"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",1.0 cups,178.2
"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",1.0 cups,162.1
"Noodles, egg, spinach, enriched, cooked",1.0 cups,161.8
"Brussels sprouts, raw",1.0 cups,155.8
"Beet greens, raw",1.0 cups,152
"Spinach, raw",1.0 cups,144.9
"Asparagus, frozen, cooked, boiled, drained, without salt",1.0 cups,144
"Broccoli, frozen, chopped, unprepared",1.0 cups,126.5
"Asparagus, canned, drained solids",1.0 cups,99.9
"Jute, potherb, cooked, boiled, drained, without salt",1.0 cups,94
"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra",1.0 oz,93.2
"Broccoli raab, raw",1.0 cups chopped,89.6
"Kale, raw",1.0 cups,81.8
"Plantains, yellow, raw",1.0 plantain,77.8
"Kiwifruit, green, raw","1.0 cups, sliced",72.5
"Soybeans, mature seeds, sprouted, cooked, steamed",1.0 cups,66.4
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",1.0 cups,62.6
"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","1.0 cups, shredded",57.8
"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt","1.0 cups, shredded",57.8
"Endive, raw","0.5 cups, chopped",57.8
"Celery, cooked, boiled, drained, without salt","1.0 cups, diced",56.7
"Snacks, tortilla chips, low fat, made with olestra, nacho cheese",1.0 oz,54.4
"Peas and carrots, frozen, cooked, boiled, drained, without salt",1.0 package (10 oz) yields,52.3
"Beans, snap, green, frozen, cooked, boiled, drained without salt",1.0 cups,51.4
"Blueberries, wild, canned, heavy syrup, drained",1.0 cups,47.2
"Okra, frozen, unprepared",0.33 package (10 oz),46.9
"Asparagus, cooked, boiled, drained",0.5 cups,45.5
"Okra, frozen, cooked, boiled, drained, without salt",0.5 cups slices,44
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",1.0 cups,43.9
"Blueberries, frozen, sweetened","1.0 cups, thawed",40.7
"Beverages, Whey protein powder isolate",3.0 scoop,40
"Blackberry juice, canned",1.0 cups,38
"Edamame, frozen, unprepared",1.0 cups,37.1
"Peas, green, raw",1.0 cups,36
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",1.0 pie crust (average weight),33.8
"Pie crust, deep dish, frozen, baked, made with enriched flour",1.0 pie crust (average weight),33.7
"Pie Crust, Cookie-type, Chocolate, Ready Crust",1.0 crust,33.1
"Cabbage, chinese (pe-tsai), raw","1.0 cups, shredded",32.6
"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",1.0 leek,31.5
"Blackberries, frozen, unsweetened","1.0 cups, unthawed",29.9
"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",1.0 cups,28.1
"Pomegranate juice, bottled",1.0 cups,25.9
"Pears, dried, sulfured, stewed, without added sugar","1.0 cups, halves",25.2
"Soup, cream of mushroom, canned, condensed",0.5 cups,24.7
"Peas, edible-podded, raw","1.0 cups, chopped",24.5
